AAA 177	  Independent Studies	  (0-6)	
ITS 402O	  Issues in Post-Soviet Euraisa	  (3) (MPC)	
ITS 477	  Independent Studies	  (0-6)	
JPN 101	  First Year Japanese	  (4)	
JPN 102	  First Year Japanese	  (4)	
JPN 177	  Independent Studies	  (0-6)	
JPN 201	  Second Year Japanese	  (3) (MPT)	
JPN 202	  Second Year Japanese	  (3) (MPT)	
JPN 231	  Japanese Tales of the Supernatural in English Translation	  (3) (MPF)	
JPN 255	  Drama in China and Japan in English Translation	  (3) (MPF)	
JPN 260	  Topics in Japanese Literature in English Translation	  (3; maximum 9)	
JPN 266	  Survey of Japanese Cinema	  (3)	
JPN 277	  Independent Studies	  (0-6)	
JPN 301	  Third Year Japanese	  (3) (MPT)	
JPN 302	  Third Year Japanese	  (3)	
JPN 340	  Internship	  (0-20)	
JPN 377	  Independent Studies	  (0-6)	
JPN 381	  Introduction to Japanese Linguistics	  (3)	
JPN 401	  Fourth Year Japanese	  (3)	
JPN 402	  Fourth Year Japanese	  (3)	
JPN 477	  Independent Studies	  (0-6)	
JPN 677	  Independent Studies	  (0-6)	
JRN 101	  Introduction to Journalism	  (3) (MPF)	
JRN 102	  Precision Language for News Writing	  (3)	
JRN 120	  Scholars in Media Writing	  (3; maximum 6)	
JRN 177	  Independent Studies	  (0-6)	
JRN 201	  Reporting and News Writing I	  (3)	
JRN 202	  Reporting and News Writing II	  (3)	
JRN 240	  Student Media Practicum	  (1; maximum 4)	
JRN 277	  Independent Studies	  (0-6)	
JRN 301	  Journalism Law and Ethics	  (3)	
JRN 303	  Multimedia Journalism	  (3)	
JRN 310	  Topics in Journalism Studies	  (3; maximum 6)	
JRN 313	  Digital Audio Reporting	  (3)	
JRN 314	  Digital Video Reporting	  (3)	
JRN 316	  Editing and Design	  (3)	
JRN 318	  Advanced Storytelling in Journalism	  (3)	
JRN 333	  International Journalism	  (3)	
JRN 340	  Internship	  (0-20)	
JRN 350	  Specialized Journalism	  (3; maximum 6)	
JRN 350P	  Specialized Journalism: Photojournalism	  (3)	
JRN 377	  Independent Studies	  (0-6)	
JRN 412	  Public Affairs Reporting	  (3)	
JRN 415	  Capstone in Television Journalism	  (4) (MPC)	
JRN 418	  Critical Writing in Journalism	  (3)	
JRN 421	  Capstone in Journalism	  (3) (MPC)	
JRN 424/JRN 524	  Ethics and Digital Media	  (3)	
JRN 426	  Inside Washington	  (8)	
JRN 427	  Inside Washington Semester Experience	  (4; maximum 4)	
JRN 429/JRN 529	  Environmental Communication	  (3)	
JRN 454	  The Washington Community	  (3-4; maximum 4)	
JRN 477	  Independent Studies	  (0-6)	
KNH 101	  Personal Nutrition: a survey course	  (2)	
KNH 102	  Fundamentals of Nutrition	  (3)	
KNH 103	  Introduction to the Profession of Dietetics	  (2)	
KNH 104	  Introduction to Food Science and Meal Management	  (3)	
KNH 110	  Dance	  (2)	
KNH 110A	  Beginning Ballet	  (2)	
KNH 110G	  Beginning Modern Dance	  (2)	
KNH 110S	  Social Dance - Men	  (2)	
KNH 110T	  Social Dance - Women	  (2)	
KNH 110U	  Intermediate Social Dance - Men	  (2)	
KNH 110W	  Intermediate Social Dance - Women	  (2)	
KNH 112	  Transition for College Students	  (2)	
KNH 116	  Personal Wellness	  (2)	
KNH 120A	  Aerobics	  (2)	
KNH 120B	  Beginning Badminton	  (2)	
KNH 120C	  Individual Exercise	  (2)	
KNH 120E	  Self Defense	  (2)	
KNH 120G	  Weight Training	  (2)	
KNH 120I	  Power Walking for Fitness	  (2)	
KNH 120K	  Marathon Training	  (2)	
KNH 120L	  Jogging for Health and Fitness	  (2)	
KNH 120N	  Nature Fit: Physical Activity in the Great Outdoors	  (2)	
KNH 120T	  Beginning T'ai Chi	  (2)	
KNH 125	  Introduction to Public Health	  (3) (MPF)	
KNH 130H	  Golf	  (2)	
KNH 130I	  Intermediate Golf	  (2)	
KNH 130K	  Racquetball	  (2)	
KNH 130M	  Tennis	  (2)	
KNH 130O	  Basic Ice Skating	  (2)	
KNH 130P	  Intermediate Ice Skating	  (2)	
KNH 130T	  Advanced Ice Skating	  (2)	
KNH 140A	  Basketball	  (2)	
KNH 140B	  Power Volleyball	  (2)	
KNH 140H	  Ice Hockey	  (2)	
KNH 140J	  Soccer	  (2)	
KNH 140K	  Advanced Ice Hockey	  (2)	
KNH 140M	  Broomball	  (2)	
KNH 150	  Outdoor Pursuit Activities	  (2)	
KNH 150A	  Beginning Canoeing	  (2)	
KNH 150B	  Beginning Backpacking	  (2)	
KNH 150C	  Beginning Rock Climbing	  (2)	
KNH 150E	  Beginning Horseback Riding	  (2)	
KNH 150F	  Intermediate Horseback Riding	  (2)	
KNH 150H	  Advanced Horseback Riding	  (2)	
KNH 150K	  Intermediate Rock Climbing	  (2)	
KNH 150M	  Mountain Biking	  (2)	
KNH 150N	  Beginning Kayaking	  (2)	
KNH 170A	  Swimming	  (2)	
KNH 170B	  Intermediate Swimming	  (2)	
KNH 177	  Independent Studies	  (0-6)	
KNH 182	  Introduction to Athletic Training	  (2)	
KNH 183	  Foundations of Athletic Training	  (3)	
KNH 183L	  Foundations of Athletic Training Laboratory	  (1)	
KNH 184	  Motor Skill Learning and Performance	  (3)	
KNH 184L	  Motor Skill Learning and Performance Laboratory	  (1)	
KNH 188	  Physical Activity and Health	  (3) (MPF, MPT)	
KNH 194	  Standard First Aid and CPR	  (2)	
KNH 194L	  Standard First Aid and CPR Laboratory	  (1)	
KNH 203	  Nutrition in Disease Prevention Management	  (3)	
KNH 205	  Understanding Drugs for the Health Promotion Professional	  (3)	
KNH 206	  AIDS: Etiology, Prevalence, and Prevention	  (3) (MPF)	
KNH 207	  Serving and Supporting Children, Youth, and Families I	  (4) (MPT)	
KNH 208	  Serving and Supporting Children, Youth, and Families II	  (5) (MPT)	
KNH 209	  Medical Terminology for Health Professionals	  (3)	
KNH 212	  Introduction to Sport Management	  (3)	
KNH 213	  Global and Community Nutrition	  (3) (MPF)	
KNH 214	  Global Well-Being	  (3) (MPF)	
KNH 218	  Applied Health Behavior Change	  (3)	
KNH 221	  Social Marketing in Public Health	  (3)	
KNH 225	  Ethics in Sport	  (3)	
KNH 242	  Personal Health	  (3) (MPF)	
KNH 243	  Women's Health Care: Problems and Practices	  (3)	
KNH 244	  Functional Anatomy	  (3)	
KNH 244L	  Functional Anatomy Laboratory	  (1)	
KNH 245	  Issues of Health & Wellness for the Young Child	  (3)	
KNH 262	  Public Health Education	  (3)	
KNH 272	  Contemporary Perspectives on Leadership in Sport Contexts	  (3)	
KNH 273	  Sport Communication & Media	  (3)	
KNH 274	  Critical Perspectives on the Body	  (3)	
KNH 275	  Introduction to Sport Analytics	  (3)	
KNH 276	  Current Issues in Leisure and Sport	  (3) (MPF)	
KNH 277	  Independent Studies	  (0-6)	
KNH 279	  African Americans in Sport	  (3) (MPF)	
KNH 284	  Emergency Care in Athletic Training	  (2)	
KNH 285	  Evaluation and Assessment of Athletic Injuries to Neck, Head and Torso	  (3)	
KNH 285L	  Evaluation and Assessment of Athletic Injuries to the Neck, Head, and Torso Laboratory	  (1)	
KNH 286A	  Practicum in Athletic Training I	  (1)	
KNH 286B	  Practicum in Athletic Training II	  (1)	
KNH 286C	  Practicum in Athletic Training III	  (1)	
KNH 286D	  Practicum in Athletic Training IV	  (1)	
KNH 286E	  Practicum in Athletic Training V	  (1)	
KNH 286F	  Practicum in Athletic Training VI	  (1)	
KNH 287	  Evaluation & Assessment of Athletic Injuries to Extremities	  (3)	
KNH 287L	  Evaluation and Assessment of Athletic Injuries to the Extremities, Laboratory	  (1)	
KNH 288	  Therapeutic Modalities	  (3)	
KNH 289	  Therapeutic Exercise	  (3)	
KNH 293	  Fitness and Conditioning	  (3)	
KNH 294	  Games and Sport	  (3)	
KNH 295	  Research and Evaluation Methods	  (3)	
KNH 303	  Food Systems Management	  (3)	
KNH 304	  Advanced Nutrition	  (3)	
KNH 313	  Sport Economics and Finance	  (3)	
KNH 314	  Sport Analytics I	  (3)	
KNH 315	  Sport Analytics II	  (3)	
KNH 317	  Sport Analytics III	  (3)	
KNH 321	  National and Global Health Policy	  (3)	
KNH 329	  Psychological Perspectives on Health	  (3)	
KNH 337	  Foundations and Fitness Training for Coaches	  (3)	
KNH 338	  Psychosocial Aspects of Coaching	  (3)	
KNH 340	  Internship	  (0-20)	
KNH 362	  Public Health Communication	  (3)	
KNH 375	  Psychological Perspectives in Sport and Exercise	  (3)	
KNH 377	  Independent Studies	  (0-6)	
KNH 378	  Sport, Power and Inequality	  (3)	
KNH 381	  Biodynamics of Human Performance	  (3)	
KNH 381L	  Biodynamics of Human Performance Lab	  (1)	
KNH 382	  Physical Activity & Fitness Assessment	  (3)	
KNH 382L	  Physical Activity & Fitness Assessment Laboratory	  (1)	
KNH 383	  Operational and Administrative Aspects of Athletic Training	  (2)	
KNH 392	  Lifetime and Adventure Activities	  (3)	
KNH 399C	  Food and Culture in Italy	  (3)	
KNH 402	  Critical Reflection on Practices in Health and Physical Culture	  (3) (MPC)	
KNH 403	  Professional Practices in Dietetics	  (3)	
KNH 404	  Advanced Food Science	  (4)	
KNH 409/KNH 509	  Nutrition for Sports and Fitness	  (3)	
KNH 411	  Medical Nutrition Therapy I	  (3)	
KNH 413	  Medical Nutrition Therapy II	  (3)	
KNH 414/KNH 514	  Facilities and Event Management in Sport	  (3)	
KNH 416/KNH 516	  Sport Marketing	  (3)	
KNH 418	  Sport Econometrics	  (3)	
KNH 419A	  Health Education Student Teaching	  (12)	
KNH 420	  Field Experience	  (1-4; maximum 8)	
KNH 420A	  Field Experience: Athletic Training	  (1-4)	
KNH 420G	  Field Experience in Dietetics	  (1-4)	
KNH 421	  Senior Seminar in Athletic Training	  (2)	
KNH 424	  Public Health Disparities Past and Current	  (3)	
KNH 432	  Nutrition Across the Life Span	  (3)	
KNH 438/KNH 538	  Principles of Effective Coaching	  (3)	
KNH 441/KNH 541	  Environmental Public Health	  (3)	
KNH 442/KNH 542	  Strength Training and Conditioning	  (3)	
KNH 446/KNH 546	  Sport, Management, and Culture in the Global Marketplace	  (3; maximum 6)	
KNH 447/KNH 547	  Sport Pedagogy for Coaches and Practitioners	  (3)	
KNH 448/KNH 548	  Global Sport Perspectives	  (3) (MPF)	
KNH 453/KNH 553	  Seminar in Kinesiology and Health	  (1-4)	
KNH 455	  Comparative Exercise Physiology	  (3)	
KNH 462/KNH 562	  Public Health Planning and Evaluation	  (3)	
KNH 465/KNH 565	  Musculoskeletal Disorders and Exercise	  (3)	
KNH 468/KNH 568	  Physiology of Exercise and Physical Activity	  (3)	
KNH 468L/KNH 568L	  Physiology of Exercise and Physical Activity Laboratory	  (1)	
KNH 471/KNH 571	  Sport, Leisure, and Aging	  (3)	
KNH 472/KNH 572	  Sport Administration	  (3)	
KNH 473	  Children and Youth in Sport	  (3)	
KNH 475/KNH 575	  Women, Gender Relations, and Sport	  (3)	
KNH 477	  Independent Studies	  (0-6)	
KNH 480/KNH 580	  Mechanics of Musculoskeletal Injury	  (3)	
KNH 481	  Life at Altitude	  (6; maximum 12)	
KNH 482/KNH 582	  Exercise Prescription: Healthy Individuals & Individuals with Chronic Diseases/Disorders	  (3)	
KNH 483/KNH 583	  Advanced Motor Control and Learning	  (3)	
KNH 484	  General Medical Conditions and Pharmacology for Athletic Training	  (3)	
KNH 495	  Practicum in Sport Leadership and Management	  (3) (MPC)	
KNH 553A	  Seminar: Health, Physical Education, Recreation, and Athletics	  (3)	
KNH 600	  Independent Reading	  (1-4)	
KNH 610	  Internship in Exercise, Health, and Sport Delivery Systems	  (1-4)	
KNH 611	  Behavioral Approaches to Health Promotion and Education	  (3)	
KNH 612	  Theoretical Foundations of Health Promotion and Education	  (3)	
KNH 613	  Health Communication & Education	  (3)	
KNH 620	  Research Problems	  (1-4)	
KNH 621	  Research Foundations in Kinesiology and Health	  (3)	
KNH 623	  Qualitative Methodological Research Approaches in the Exercise, Health, and Sport Studies Fields	  (3)	
KNH 632	  Psychological Foundations of Sport	  (3)	
KNH 633	  Psychological Interventions in Sport	  (3)	
KNH 634	  Social Psychology of Sport and Exercise	  (3)	
KNH 635	  Strategic Management of Sport Organizations	  (3)	
KNH 640	  Internship	  (0-12; maximum 6)	
KNH 654	  Physical Activity Motivation	  (3)	
KNH 668	  Advanced Physiology and Biophysics of Human Activity	  (3)	
KNH 673	  Developmental Perspectives on Youth Sport Participation	  (3)	
KNH 676	  Cultural Studies of Sport	  (3)	
KNH 677	  Independent Studies	  (0-6)	
KNH 685	  Exercise, Age, and Health	  (3)	
KNH 688	  Advanced Biomechanics	  (3)	
KNH 699H	  Life in Iceland & Greenland	  (1)	
KNH 700	  Thesis, M	A..  (1-10; maximum 10)	
KNH 704	  Non-Thesis Project	  (0-12; maximum 12)	
KOR 101	  Beginning Korean I	  (4)	
KOR 102	  Beginning Korean 2	  (4)	
KOR 177	  Independent Studies	  (0-6)	
KOR 201	  Intermediate Korean 1	  (3)	
KOR 202	  Intermediate Korean 2	  (3)	
KOR 277	  Independent Studies	  (0-6)	
KOR 377	  Independent Studies	  (0-6)	
KOR 477	  Independent Studies	  (0-6)	
LAS 177	  Independent Studies	  (0-6)	
LAS 204	  Brazilian Culture Through Popular Music	  (3) (MPF)	
LAS 207	  Latin America before 1910	  (3) (MPF)	
LAS 208	  Introduction to Latin America	  (3) (MPF, MPT)	
LAS 211	  Writing with Purpose: Interdisciplinary Inquiry and Communication	  (3)	
LAS 217	  Modern Latin American History	  (3)	
LAS 243	  History of the Atlantic Slave Trade, 1400s to 1800s	  (3)	
LAS 254	  Latino/a Literature and the Americas	  (3) (MPF)	
LAS 260	  Latin America in the United States	  (3) (MPF)	
LAS 277	  Independent Studies	  (0-6)	
LAS 300	  Special Topics	  (1-3)	
LAS 315	  Latin American Diaspora: Communities, Conditions and Issues	  (3)	
LAS 317	  The Arts of Colonial Latin America	  (3)	
LAS 319	  Revolution in Latin America	  (3)	
LAS 325	  Identity, Race, Gender, Class	  (3) (MPT)	
LAS 332	  Latin American Popular Culture	  (3)	
LAS 377	  Independent Studies	  (0-6)	
LAS 385	  Race, Science, and Disease in the Americas	  (3)	
LAS 390	  Special Topics	  (3)	
LAS 410	  Current Latin American Issues	  (1-3) (MPC)	
LAS 412/LAS 512	  Tropical Ecosystems of Costa Rica	  (5)	
LAS 413	  Tropical Marine Ecology	  (5) (MPT)	
LAS 424/LAS 524	  Seminar on Modern Architecture in Latin America	  (3)	
LAS 477	  Independent Studies	  (0-6)	
LAS 677	  Independent Studies	  (0-6)	
LAT 101	  Beginning Latin	  (4)	
LAT 102	  Beginning Latin	  (4)	
LAT 111	  Review Latin	  (4)	
LAT 121	  Review Latin	  (4)	
LAT 177	  Independent Studies	  (0-6)	
LAT 201	  Intermediate Latin	  (3)	
LAT 202	  Representative Latin Authors	  (3)	
LAT 277	  Independent Studies	  (0-6)	
LAT 310	  Special Topics in Latin Literature	  (3; maximum 12)	
LAT 377	  Independent Studies	  (0-6)	
LAT 410	  Latin Seminar	  (3; maximum 12)	
LAT 477	  Independent Studies	  (0-6)	
LAT 480	  Independent Reading for Departmental Honors	  (3-6)	
LST 302	  Principles of Liberal Studies	  (3)	
LST 402	  Capstone in Liberal Studies	  (3) (MPC)	
LUX 277	  Independent Studies	  (0-6)	
LUX 325	  Study Tour Component	  (1)	
LUX 335	  European Experience	  (1)	
LUX 340	  Internship	  (0-20)	
LUX 345	  Luxembourg: European Context	  (1)	
LUX 377	  Independent Studies	  (0-6)	
MAC 143	  Introduction to Media	  (3) (MPF, MPT)	
MAC 146	  Media Aesthetics	  (3)	
MAC 167	  Practicum in Electronic Media Production	  (1)	
MAC 177	  Independent Studies	  (0-6)	
MAC 209	  Advertising in Consumer Culture	  (3)	
MAC 211	  Introduction to Video Production	  (4)	
MAC 212	  Media, Representation, and Society	  (3)	
MAC 213	  Writing for Media	  (3)	
MAC 215	  Media History	  (3)	
MAC 258	  Copywriting for Electronic Media	  (3)	
MAC 267	  Practicum in Electronic Media Production II	  (1-3)	
MAC 277	  Independent Studies	  (0-6)	
MAC 311	  Digital Film Production	  (3)	
MAC 312	  TV Studio Production	  (3)	
MAC 325	  Social Media Cultures	  (3)	
MAC 340	  Internship	  (0-20)	
MAC 343	  Advanced Audio Production	  (3)	
MAC 353	  Audience Studies	  (3)	
MAC 355	  Media Technology & Culture	  (3)	
MAC 367	  Practicum in Electronic Media Production III	  (1-3)	
MAC 377	  Independent Studies	  (0-6)	
MAC 414	  Capstone Pictures: Project in Digital Narrative Film Production	  (4; maximum 8) (MPC)	
MAC 422	  Advanced Creative Writing: Screenwriting Workshop	  (3)	
MAC 425	  Inside Hollywood	  (3)	
MAC 426	  Inside Washington	  (8)	
MAC 427	  Inside Washington Semester Experience	  (4)	
MAC 443	  Media Economics	  (3)	
MAC 445	  Electronic Media Policy and Regulation	  (3) (MPC)	
MAC 446	  Media Globalization	  (3)	
MAC 447	  Mass Media Criticism	  (3) (MPC)	
MAC 450	  Topics in Communication	  (3)	
MAC 454	  The Washington Community	  (3-4)	
MAC 461	  Gender, Sexuality and Media	  (3) (MPT)	
MAC 462	  Red Atlantic: Practicum in U	K. Media, Advertising & Public Relations.  (3)	
MAC 477	  Independent Studies	  (0-6)	
MAC 677	  Independent Studies	  (0-6)	
MBI 104	  Developing Skills and Approaches for Science Success	  (1-2; maximum 2)	
MBI 111	  Microorganisms and Human Disease	  (3) (MPF)	
MBI 115	  Biological Concepts: Ecology, Evolution, Genetics, and Diversity	  (4) (MPF, MPT)	
MBI 116	  Biological Concepts: Structure, Function, Cellular and Molecular Biology	  (4) (MPF, MPT)	
MBI 121	  The Microbial World	  (3) (MPF)	
MBI 123	  Experimenting with Microbes	  (1) (MPF)	
MBI 131	  Community Health Perspectives	  (3) (MPF)	
MBI 143	  Parasitology and Mycology Labs	  (1) (MPF)	
MBI 147	  Microbiology Introductory Seminar	  (1)	
MBI 150	  Topics in Microbiology	  (1-4; maximum 4)	
MBI 161	  Elementary Medical Microbiology	  (4) (MPF, MPT)	
MBI 177	  Independent Studies	  (0-6)	
MBI 201	  General Microbiology	  (4) (MPT)	
MBI 223	  Bacteriophage Biology	  (1)	
MBI 224	  Bacteriophage Genomics	  (1)	
MBI 250	  Topics in Microbiology	  (1-6; maximum 6)	
MBI 256	  Introduction to Programming for the Life Sciences	  (3)	
MBI 277	  Independent Studies	  (0-6)	
MBI 340	  Internship	  (0-20)	
MBI 350	  Topics in Microbiology	  (1-6; maximum 6)	
MBI 361	  Epidemiology	  (3) (MPT)	
MBI 365	  Molecular and Cell Biology	  (3) (MPT)	
